"Apiary Display Category";"Apiary Display Label";"DwC/AP Term Name";"DwC/AP Class";"ROI association";"UI Category";"Parse level";"Input rules";"Examples-- ROI primary label";"ROI annotation 1";"ROI annotation 2";"ROI annotation 3";
"Field Notes";"Measurement Type";"measurementType";"DwC MeasurementOrFact";"primary, annotation";"what";2;;;;;;
"Field Notes";"Measurement Value";"measurementValue";"DwC MeasurementOrFact";"primary, annotation";"what";2;;;;;;
"Field Notes";"Measurement Accuracy";"measurementAccuracy";"DwC MeasurementOrFact";"primary, annotation";"what";2;;;;;;
"Field Notes";"Measurement Unit";"measurementUnit";"DwC MeasurementOrFact";"primary, annotation";"what";2;;;;;;
"Field Notes";"Measurement Determined Date";"measurementDeterminedDate";"DwC MeasurementOrFact";"primary, annotation";"what";2;;;;;;
"Field Notes";"Measurement Determined By";"measurementDeterminedBy";"DwC MeasurementOrFact";"primary, annotation";"what";2;;;;;;
"Field Notes";"Measurement Method";"measurementMethod";"DwC MeasurementOrFact";"primary, annotation";"what";2;;;;;;
"Field Notes";"Measurement Remarks";"measurementRemarks";"DwC MeasurementOrFact";"primary, annotation";"what";2;;;;;;
;;;;;;;;;;;;
"Taxonomic Identification";"Verbatim Scientific Name";"verbatimScientificName";"AP Taxon";"primary, annotation, determination";"what";1;;"Physostegia virginiana (L.) Benth.";"Physostegia bracteata Lundell, n. sp.";;"Dracocephalum virginianum L.";"P. serotina Shinners"
"Taxonomic Identification";"Scientific Name";"scientificName";"DwC Taxon";"N/A, auto-generated";"what";3;"Auto-generated from genus + specificEpithet + +taxonRank + infraspecificEpithet + scientificNameAuthorship";;;;;
"Taxonomic Identification";"Authorship";"scientificNameAuthorship";"DwC Taxon";"primary, annotation, determination";"what";2;;"(L.) Benth.";"Lundell";;"L.";"Shinners"
"Taxonomic Identification";"Family";"family";"DwC Taxon";"primary, annotation, determination";"what";2;;;;;;
"Taxonomic Identification";"Genus";"genus";"DwC Taxon";"primary, annotation, determination";"what";2;;"Physostegia";"Physostegia";;"Dracocephalum";"Physostegia"
"Taxonomic Identification";"Subgenus";"subgenus";"DwC Taxon";"primary, annotation, determination";"what";2;;;;;;
"Taxonomic Identification";"Specific Epithet";"specificEpithet";"DwC Taxon";"primary, annotation, determination";"what";2;;"virginiana";"bracteata";;"virginianum";"serotina"
"Taxonomic Identification";"Infraspecific Epithet";"infraspecificEpithet";"DwC Taxon";"primary, annotation, determination";"what";2;;;;;;
"Taxonomic Identification";"Taxon Rank";"taxonRank";"DwC Taxon";"primary, annotation, determination";"what";2;;;;;;
"Taxonomic Identification";"Verbatim Taxon Rank";"verbatimTaxonRank";"DwC Taxon";"primary, annotation, determination";"what";2;;;;;;
"Taxonomic Identification";"Common Name";"vernacularName";"DwC Taxon";"primary, annotation, determination";"what";1;;"dragonhead";;;;
"Taxonomic Identification";"Common Name Language";"vernacularNameLanguage";"AP Taxon";"primary, annotation, determination";"what";1;;;;;;
"Taxonomic Identification";"Common Name Label";"vernacularNameLabel";"AP Taxon";"primary, annotation, determination";"what";1;;;;;;
"Taxonomic Identification";"Taxonomic Status";"taxonomicStatus";"DwC Taxon";"primary, annotation, or N/A";"what";3;;;;;;
"Taxonomic Identification";"Nomenclatural Status";"nomenclaturalStatus";"DwC Taxon";"primary, annotation, or N/A";"what";3;;;;;;
"Taxonomic Identification";"Taxon Remarks";"taxonRemarks";"DwC Taxon";"primary, annotation, or N/A";"what";1;;;;;;
"Taxonomic Identification";"Verbatim Determiner(s)";"identifiedBy";"DwC Identification";"primary, annotation, determination";"what";1;"verbatim";;"Identified by C. L. Lundell; Southern Methodist University, Dallas, Texas";;"Det. by Elizabeth McClintock 1947.";"LHS. 2/I/1956"
"Taxonomic Identification";"Standardized Primary Determiner";"primaryIdentifier";"AP Identification";"N/A";"what";2;;;;;;
"Taxonomic Identification";"Standardized Annotation Date";"dateIdentified";"DwC Identification";"N/A";"what";2;"ISO 8601:2004(E) encoding scheme, multiple entry allowed";;;;;
"Taxonomic Identification";"Verbatim Annotation Date";"verbatimDateIdentified";"AP Identification";"primary, annotation, determination";"what";1;;;;;;
"Taxonomic Identification";"Identification References";"identificationReferences";"DwC Identification";"primary, annotation, determination";"what";2;;;;;;
"Taxonomic Identification";"Identification Remarks";"identificationRemarks";"DwC Identification";"primary, annotation, determination";"what";1;;;"(aff. P. denticulata (Ait.) Britton)";;;
"Taxonomic Identification";"Identification Qualifier";"identificationQualifier";"DwC Identification";"primary, annotation, determination";"what";2;;;;;;
"Taxonomic Identification";"Identification Status";"identificationStatus";"AP Identification";"N/A";"what";3;;;;;;
"Taxonomic Identification";"Previous Identifications";"previousIdentifications";"DwC Occurrence";"N/A, auto-generated";"what";3;;;;;;
;;;;;;;;;;;;
"Higher Taxonomy";"Higher Classification";"higherClassification";"DwC Taxon";"N/A, auto-generated";"what";3;"Auto-generated from kingdom+ phylum + class + order + family";;;;;
"Higher Taxonomy";"Verbatim Higher Classification";"verbatimHigherClassification";"AP Taxon";"primary, annotation";"what";1;"Verbatim";"Asteraceae: tribus Lactuceae";;;;
"Higher Taxonomy";"Kingdom";"kingdom";"DwC Taxon";"N/A";"what";3;"Usually not indicated on specimen. Should enable set to autofill. ";;;;;
"Higher Taxonomy";"Division";"phylum";"DwC Taxon";"N/A";"what";3;"Usually not indicated on specimen.";;;;;
"Higher Taxonomy";"Class";"class";"DwC Taxon";"N/A";"what";3;"Usually not indicated on specimen.";;;;;
"Higher Taxonomy";"Order";"order";"DwC Taxon";"N/A";"what";3;"Usually not indicated on specimen.";;;;;
"Higher Taxonomy";"Nomenclatural Code";"nomenclaturalCode";"DwC Taxon";"N/A";"what";3;"Usually not indicated on specimen. Should enable set to autofill. ";"ICBN";;;;
;;;;;;;;;;;;
"Other Annotations";"Verbatim Annotator(s)";"annotatedBy";"AP Annotation";"primary, annotation";"who";1;"verbatim";;;"C.L.L.";;
"Other Annotations";"Standardized Primary Annotator";"primaryAnnotator";"AP Annotation";"N/A";"who";2;;;;;;
"Other Annotations";"Annotation Text";"annotationRemarks";"AP Annotation";"primary, annotation";"what";1;;;;"nomen - not published.";;
"Other Annotations";"Verbatim Annotation Date";"verbatimDateAnnotated";"AP Annotation";"primary, annotation";"when";1;;;;"1947";;
"Other Annotations";"Standardized Annotation Date";"dateAnnotated";"AP Annotation";"N/A";"when";2;"ISO 8601:2004(E) encoding scheme, multiple entry allowed";;;;;
"Other Annotations";"Annotation References";"annotationReferences";"AP Annotation";"primary, annotation";"what";2;;"(have some direct relationship on why the specimen was annotated)";;;;
"Other Annotations";"Associated Media";"associatedMedia";"DwC Occurrence";"primary, annotation";"what";2;;;;;;
"Other Annotations";"Associated References";"associatedReferences";"DwC Occurrence";"primary, annotation";"what";2;;;;;;
"Other Annotations";"Associated Genetic Sequences";"associatedSequences";"DwC Occurrence";"primary, annotation";"what";2;;"GenBank: U34853.1";;;;
;;;;;;;;;;;;
"Curatorial";"Institution Code";"institutionCode";"Dwc Record-level Terms";"N/A";"who";3;"Should enable set to auto-fill or repeat previous, only 1 entry allowed";"BRIT";;;;
"Curatorial";"Herbarium Code";"collectionCode";"Dwc Record-level Terms";"stamp";"who";1;"Should enable set to auto-fill or repeat previous, only 1 entry allowed";"SMU";;;;
"Curatorial";"Special Collection/Project Name";"datasetName";"Dwc Record-level Terms";"stamp or N/A";"what";1;"Should enable to repeat previous, multiple entry allowed";;;;;
"Curatorial";"Owning Institution Code";"ownerInstitutionCode";"Dwc Record-level Terms";"stamp or N/A";"who";3;"Should enable set to auto-fill or repeat previous, only 1 entry allowed";"BRIT";;;;
"Curatorial";"Previous Owning Institutions";"previousOwners";"AP Record-level Terms";"stamp";"who";1;"Semicolon-delimited, multiple entry allowed";;;;;
"Curatorial";"Barcode Number";"catalogNumber";"DwC Occurrence";"barcode";"what";1;"Only one entry allowed per specimen";"BRIT 23924";;;;
